Timestamp,Annotator #1 Code,Annotator #2 Code,Story Code,Story Name,Plot Summary (25-50 words),Author Code,Second author code (if applicable),In what order are the investigation and reveal portions provided?,Name of Detective #1,Detective #1 Gender,Detective #1 Role,Name of Detective #2,Detective #2 Gender,Detective #2 Role,"More Than Two Detectives? (If yes, enter total number)",Name of Assistant #1,Assistant #1 Gender,Assistant #1 Role,Name of Assistant #2,Assistant #2 Gender,Assistant #2 Role,"More Than Two Assistants? (If yes, enter total number)",Number of victims of gender Male,Number of victims of gender Female,Number of victims of gender Non-binary,Number of victims of gender Unknown,Number of victims who are corporate entities,Number of culprits of gender Male,Number of culprits of gender Female,Number of culprits of gender Non-binary,Number of culprits of gender Unknown,Are one or more culprits introduced into the story only during the reveal?,The main culprit,Who initiates the detective's investigation?,What is the role of the police force in solving the crime?,The story's main action focuses on a,When do(es) the crime(s)/mystery being investigated occur?,Types of crimes or quasi-crimes present in story,Motives,Means (murder only),Does the story provide sufficient clues in sufficient detail to allow an alert reader to correctly guess the solution before the reveal?,Does the story provide sufficient clues in sufficient detail to allow an alert reader to definitively solve the crime before the reveal?,Did either annotator personally correctly guess the solution to the crime before the reveal?,Types of clues,What is the essential clue in the story (if present)?,Of what type is the essential clue (if present)?,What is the most salient clue in the story (if clues are present)?,Of what type is the most salient clue (if clues are present)?,Describe the main red herring (if present),Of what type is the main red herring (if present)?,Presence of planted or fabricated evidence,Types of evidence made available in the story,Is the crime solved?,"Does the detective pointedly and independently decide NOT to alert the authorities to the facts of the crime, despite the fact that an actionable crime has been committed?",Do you receive a satisfying narrative of account of the crime(s) in all their relevant details and a summary of the process by which the crime(s) are solved?,How satisfying is this story as a piece of detective fiction?,Would you recommend this story to a friend?,"Upload plain text file here, named as [STORY CODE].txt",Crime trajectory,"What is the ""reveal border"" sentence?"
2021-06-10T23:11:52Z,CC,SK,ELB07,Missing!,"A young lady goes missing, and the detective is contacted too late, but can she still figure out what happened to this girl? Loveday Brooke is on the case!",CKP,NA,Standard,Loveday Brooke,Female,Independent professional (agency),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,,,0,2,0,0,No,Acts together with one or more equal partners,Unclear/not specified,"Police are present but with no role, or only a minor role, in helping solve the crime",Quasi-crime,"Before the investigation, During the investigation",NA,Love,NA,No,No,No,"Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",The sickness of the mother,Testimonial clue,The maid's views on the household and behaviour towards the body,Testimonial clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,Yes,https://drive.google.com/open?id=1oJJN2jOB6N0NdLbI82uD0MTB8CObALu3,No qrime → no qrime,"""I have conducted my investigations under somewhat disadvantageous circumstances,"" Loveday went on quietly, ""and, for a time, with but little result."
2021-06-10T23:22:33Z,CC,SK,OMIC09,An Unparalleled Outrage,"(Racism) A well-liked and well-known man goes missing all of a sudden, and nobody has heard from him in days! What has happened to him?",BO,NA,Standard,Bill Owen,Male,Independent amateur,NA,NA,NA,NA,Polly Burton,Female,Independent amateur,NA,NA,NA,NA,1,1,,,,1,0,0,0,Yes,Acts alone,Unclear/not specified,Police are present and contribute significantly to solving the crime,Crime,"Before the investigation, During the investigation","Blackmail, Assault",Greed,NA,No,No,No,"Legible but not usable (legible → not usable), Ex post -- new clue (not mentioned → usable)",Unwillingness to charge Mr. Skinner,Testimonial clue,Unwillingness to charge Mr. Skinner,Testimonial clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,No,No,1,No,https://drive.google.com/open?id=1Ae60KcoaaCJhlpMWST2C5EBoaSItx3t0,Qrime → same qrime,"As they were read by Mr. Pepys, an awed and expectant hush seemed to descend over the large crowd gathered there, and all necks were strained eagerly forward to catch a glimpse of a tall, elegant woman, faultlessly dressed and wearing exquisite jewellery, but whose handsome face wore, as the prosecuting counsel read her husband’s deposition, a more and more ashen hue."
2021-06-10T23:28:10Z,CC,SK,OMIC10,The Regent's Park Murder,"A man is found strangled to death unexpectedly, but who killed him, and why would they kill such a man?",BO,NA,Standard,Bill Owens,Male,Independent amateur,NA,NA,NA,NA,Polly Burton,Female,Independent amateur,NA,NA,NA,NA,1,0,,,,2,0,0,0,No,Acts together with one or more equal partners,Unclear/not specified,Police are present and contribute significantly to solving the crime,Crime,Before the investigation,Murder,Greed,Asphyxiation,No,No,No,"Usable in real time (usable → usable), Ex post -- new clue (not mentioned → usable)",The debt owed to the victim,Testimonial clue,Information disclosed regarding John Ashley,Testimonial clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,Yes,No,1,No,https://drive.google.com/open?id=17DGEvceOGjKOS9qCxIWakO2eNIM25qQa,Qrime → same qrime,"""You do not see how that murder was committed?"" he asked with a grin."
2021-06-11T15:05:49Z,MS,JM,OMIC05,The Liverpool Mystery,"A reputed jewellery firm sends a clerk on a visit to Prince Seimonicz’s hotel, upon his request, to display some exceedingly valuable wares. But foreigners who claim to be aristocrats are often suspicious in England, where many a con man disguises himself thus. But the clerk returns without the wares, and goes missing from his rooms. Is the culprit obvious? Or could it be that appearances are misleading?",BO,NA,Standard,Bill Owen,Male,Independent amateur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,,,,1,0,0,0,No,Acts alone,The detective(s) themselves,Police are present and actively interfere with or hinder the solution of the crime,Crime,Before the investigation,"Theft, Fraud",Greed,NA,No,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable)",Living above his means,Testimonial clue,the fake policeman appears immediately after the deal has been made,Testimonial clue,The young clerk goes missing after the transaction,Physical clue,NA,"Testimonial evidence, Physical evidence",Yes,No,Yes,4,Yes,https://drive.google.com/open?id=1X_0kfQRxSC6i9MhSeLB5CKVlytMBuOCc,Qrime → same qrime,"Who do I think knew at that moment that young Schwarz had money in his possession?"" he said excitedly, wriggling in his chair like a Jack-in-the-box."
2021-06-11T15:26:09Z,MS,JM,OMIC06,The Edinburgh Mystery,"A wedding is to be celebrated, and the future wife has been promised beautiful diamonds by the godmother of the bridesmaid. A week before the wedding, the wealthy woman is found dead: she has been robed and murdered, and the bride is immediately accused.",BO,NA,Standard,Bill Owen,Male,Independent amateur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,,,,1,1,0,0,No,Acts alone,The detective(s) themselves,Police are present and actively interfere with or hinder the solution of the crime,Crime,Before the investigation,"Murder, Theft","Greed, Love",Asphyxiation,No,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable)",Lady Donald's sentence,Testimonial clue,David was the last person who saw his aunt alive + Edith was in the train at 9:10PM,Testimonial clue,Suggestion that motive of murder was the theft of the diamonds,Testimonial clue,NA,"Testimonial evidence, Physical evidence",Yes,No,Yes,5,Yes,https://drive.google.com/open?id=1R9hdTwchqXbb7INDqgxzrekRy3P9CsyS,Qrime → same qrime,"""Then who, in your opinion,"" he asked sarcastically, and cocking his funny birdlike head on one side, ""tried to sell diamond earrings to Mr. Campbell, the jeweller?"""
2021-06-11T21:33:45Z,WW,MAL,AMH04,"The Case of the ""Flitterbat Lancers""","One evening, Brett’s reading is interrupted by the shattering of a windowpane. The cause is a thrown rock wrapped with a discordant piece of music entitled “Flitterbat Lancers.” The music may be the key to a fortune.",AM,NA,Standard,Martin Hewitt,Male,Independent professional (solo),NA,NA,NA,NA,Brett,Male,Independent amateur,NA,NA,NA,NA,3,0,,,,5,0,0,0,No,Acts together with one or more equal partners,The assistant(s),"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,"Before the investigation, During the investigation","Theft, Fraud, Kidnapping, Mischief",Greed,NA,No,No,No,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",The decryption of the sheet music of “Flitterbat Lancers”.,Physical clue,"The silence of the man being abducted, indicating that he doesn’t want external assistance.",Physical clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,No,Yes,2,No,https://drive.google.com/open?id=1dB7bcFo1-GQCXSr_tU_G4ueRcg00PlFn,Qrime → different qrime,"""You read it? Whew! And what does it say? How did you do it?"" Hoker turned the paper over eagerly in his hands as he spoke."
2021-06-11T21:52:01Z,WW,MAL,AMH03,The Case of the Dead Skipper,"When an unpopular sea captain once accused of sinking his own ship is found with his throat slit, a young Martin Hewitt investigates the captain's fellow lodgers with a police inspector doubtful of his skills.",AM,NA,Standard,Martin Hewitt,Male,Independent professional (solo),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,,,,2,0,0,0,Yes,Acts alone,The detective(s) themselves,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Before the investigation,"Murder, Theft, Fraud",Greed,Knife/sword,No,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",The burnt cheque and the identifying information on it which leads to the culprit.,Physical clue,"The captain’s valuables, found abandoned in a ditch, pointing away from robbery.",Physical clue,NA,NA,Planted,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,Yes,https://drive.google.com/open?id=1Yu6CX8u1jfbs7Uy5DHbltKow07YGu9PC,Qrime → same qrime,Very well. I think it will make the thing plainer if I summarise separately all my conclusions from the evidence as a whole from the beginning.
2021-06-11T22:25:18Z,WW,MAL,AMH05,The Case of the Late Mr. Rewse,"A client approaches Martin Hewitt with suspicions of murder when a young man on a rural holiday with his friend is reported dead of smallpox. After all, bullet holes aren't symptomatic of smallpox, are they?",AM,NA,Standard,Martin Hewitt,Male,Independent professional (solo),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,,,1,0,0,0,No,Acts alone,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Quasi-crime,Before the investigation,"Suspected murder, Fraud","Greed, Love",Firearm,Yes,No,Yes,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable)","The clock hidden in the cottage, broken by the bullet, is stopped at around one, which is before the main suspect returned to the cabin.",Physical clue,"Mr. Rewse’s emotional difficulties at the time, specifically the death of the woman he was courting.",Testimonial clue,NA,NA,Fabricated,"Testimonial evidence, Physical evidence",Yes,No,Yes,5,Yes,https://drive.google.com/open?id=1GNgfV4fkx6xmvD-zHL6dCQDaq7-guzRp,Qrime → different qrime,"""Mr. Bowyer,"" he said, ""we have done Mr. Stanley Main a sad injustice."
2021-06-12T16:31:21Z,SO,AMB,AMH06,The Case of the Ward Lane Tabernacle,Mrs. Mallett is an eccentric who bothers Martin Hewitt. She is in possession of a sacred snuff box which is a relic of some cult(?). Then she disappears! Is it the work of the cult?,AM,NA,Standard,Martin Hewitt,Male,Independent professional (solo),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,,,,1,1,0,3,No,Acts on behalf of a crime syndicate,A private client,Police are not present,Crime,"Before the investigation, During the investigation, After the investigation","Suspected murder, Theft, Assault, Kidnapping, Breaking and entering",Ideology,NA,Yes,No,Yes,"Illegible and never usable (illegible → never usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable)",Break-in during Mrs. Mallett's kidnapping,Physical clue,Reuben Penner's repeated interactions with Mrs. Mallett',Testimonial clue,The 'sacred' snuff box,Testimonial clue,NA,"Testimonial evidence, Physical evidence",Yes,Yes,Yes,3,Yes,https://drive.google.com/open?id=1j97JO8iVwLLNGUQS6zW-nmS-WiOgscQn,Qrime → different qrime,"""I think we are at the bottom of all this mystery now,"" Hewitt answered quietly."
2021-06-12T17:02:03Z,SO,AMB,ELB02,The Murder at Troyte's Hill,"Loveday Brooke goes undercover to find who murdered Old Sandy. The police suspect young Mr. Craven - son of the philology-obsessed master of Troyte Hill. But when Miss Craven goes on the run and the family dog turns up dead, it’s up to Loveday to piece it all together.",CKP,NA,Standard,Loveday Brooke,Female,Independent professional (agency),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,,,,2,0,0,0,No,Acts alone,The police,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,"Before the investigation, During the investigation","Murder, Theft, Blackmail, Assault, Mischief",Crime-for-crime's-sake,Blunt force trauma,Yes,Yes,Yes,"Evoked, Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",Mr. Craven grieving Captain (the dog)'s death despite him only going missing,Testimonial clue,Captain (the dog)'s corpse,Physical clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,No,Yes,2,Yes,https://drive.google.com/open?id=1g3rn2Ej2mJGZ8fdx82PlI-1VRb8Wg02s,Qrime → same qrime,"The ink had not dried on the pen with which this report was written before a note, in Loveday's writing, was put into his hand."
2021-06-12T17:28:41Z,SO,AMB,PZ02,The Stone of the Edmundsbury Monks,"(Racism; Orientalism) Orientalist sir Jocelyn Saul is the inheritor and curator of a golden chalice with a priceless gem embedded dating from the Crusades. His only companion is a 'Persian' named Ul-Jabal, who appears to be swapping the gems with a dud! Is Ul-Jabal a thief?",MPS,NA,Standard,Zaleski,Male,Independent amateur,NA,NA,NA,NA,_unnamed,Unknown,Independent amateur,NA,NA,NA,NA,2,0,,,,1,0,0,0,No,Acts on behalf of a crime syndicate,Unclear/not specified,Police are not present,Crime,Before the investigation,"Murder, Theft, Fraud, Forgery, Breaking and entering",Ideology,Poison,Yes,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",The stone's unique ability to change colour,Testimonial clue,Ul-Jabal's repeated return to the gem chamber,Testimonial clue,NA,NA,NA,Testimonial evidence,Yes,No,Yes,1,No,https://drive.google.com/open?id=1Up7cdRDGYSlOSFC7R7CV3lIUniGRKQex,Qrime → same qrime,"You perceive, I hope, the sinister meaning of all this?'"
2021-06-14T11:43:13Z,WW,MAL,PZ01,The Race of Orven,"A dead Earl, severed fingers, stolen jewels, and a floating ball of white. When Lord Pharanx is found murdered three months after his son Randolph returned from India, is the culprit a mere robber, or something more sinister?",MPS,NA,Standard,Zaleski,Male,Independent amateur,NA,NA,NA,NA,Matthew Shiel,Male,Independent amateur,NA,NA,NA,NA,0,1,,,,2,1,0,0,No,Acts together with one or more equal partners,The assistant(s),Police are not present,Crime,Before the investigation,"Suspected murder, Theft, Fraud, Assault","Greed, Pride",Firearm,No,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)","The history of Lord Pharanx’s family line, with the early deaths of the patriarchs.",Testimonial clue,"The note that Pharanx sends to his son: ""Return. The beginning of the end is come.""",Physical clue,NA,NA,"Planted, Fabricated","Testimonial evidence, Physical evidence",Yes,No,Yes,2,No,https://drive.google.com/open?id=1vHxm-DxEUWg9GJDjXXwJkE_TMSMwpwVK,Qrime → different qrime,"""And now, Shiel, let us sit together and confer on this matter."""
2021-06-14T12:02:17Z,WW,MAL,OMIC01,The Fenchurch Street Mystery,"The unrecognizable corpse of William Kershaw, a man in dire financial straits, is found—after his presumed meeting with a millionaire whom he had attempted to blackmail. To the shock of the police, however, William Kershaw is spotted at a hotel days after he supposedly died.",BO,NA,Standard,Bill Owen,Male,Independent amateur,NA,NA,NA,NA,Polly Burton,Female,Independent amateur,NA,NA,NA,NA,1,0,,,,1,0,0,0,No,Acts alone,The detective(s) themselves,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Before the investigation,"Murder, Theft, Fraud, Blackmail",Greed,Unknown,Yes,No,No,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- newly usable clue (illegible → usable)",The handwriting of Francis Smethurst in court not matching the handwriting in the letters.,Physical clue,"The strange appearance in court of the millionaire Francis Smethurst—hair, beard, eyebrows shaved.",Physical clue,NA,NA,"Planted, Fabricated","Testimonial evidence, Physical evidence",Yes,Yes,No,4,Yes,https://drive.google.com/open?id=1iQ4HDKUPIWyty1YT9nw1DFJS2fmBIa72,Qrime → different qrime,"""I will take you, if you like, point by point along the line of reasoning which I followed myself, and which will inevitably lead you, as it led me, to the only possible solution of the mystery."
2021-06-14T15:10:34Z,WW,MAL,ELB01,The Black Bag Left on a Door-Step,"When £30,000 of Lady Cathrow’s jewelry is stolen from her safe and a clergyman's black bag is left on a maid’s doorstep with a mysterious, confessional note, Loveday Brooke investigates the estate from the inside suspecting a link between two seemingly different events.",CKP,NA,Standard,Loveday Brooke,Female,Independent professional (agency),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,,,,3,0,0,0,No,Acts together with one or more equal partners,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Before the investigation,"Theft, Mischief",Greed,NA,No,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)","The writing on the safe, which matches The Reciter’s Treasury.",Physical clue,Emmett Jones’ proficiency as a performer/reciter.,Testimonial clue,NA,NA,"Planted, Fabricated","Testimonial evidence, Physical evidence",Yes,No,Yes,4,Yes,https://drive.google.com/open?id=109YsuqpwhDbd1YY6o2R1gXYv_qbHUkyU,Qrime → same qrime,"""Will you be good enough to tell Mr. Emmett in there,"" said Mr. Dyer, addressing the man, ""that a gentleman outside wishes to speak with him."""
2021-06-15T10:51:20Z,JM,MS,OMIC07,The Theft at the English Provident Bank,"The bank manager discovers a robbery, and suffers a nervous shock. The doctor forbids the police from questioning him in this precarious health. But the testimonies of the night watchman, and the bank manager’s wife turn out to be contradictory…",BO,NA,Standard,Bill Owen,Male,Independent amateur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,,,,1,1,0,0,No,Acts alone,The detective(s) themselves,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Before the investigation,Theft,Greed,NA,No,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)","Why, Lewis, I thought you had gone to your club ages ago. What in the world are you doing here in the dark?",Testimonial clue,The lock of the safe was opened by its own key,Testimonial clue,NA,NA,NA,Testimonial evidence,Yes,No,Yes,3,No,https://drive.google.com/open?id=1Is1LE0VyTAU4U_S09FMNg-utiLD4-7mL,Qrime → same qrime,"""You are altogether on the wrong track,"" sounded a sharp voice in direct answer to Polly's thoughts—""altogether wrong.”"
2021-06-15T11:05:55Z,JM,MS,OMIC08,The Dublin Mystery,"A wealthy man, father of two sons, dies, and his lawyer is found murdered 
soon after. The will left by the old man appears to disinherit the son he 
loved the most, leaving everything to the gambling. Has the will been 
forged?",BO,NA,Standard,Bill Owen,Male,Independent amateur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,,,,1,0,0,0,No,Acts alone,The detective(s) themselves,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Before the investigation,"Murder, Theft, Forgery",Greed,Blunt force trauma,Yes,No,Yes,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable)",Clumsy forgery,Testimonial clue,"Father dies of despair, after quarrel.",Testimonial clue,"Percival was with his father during the argument, and is known to have been in the house throughout, which would’ve made it possible for him to overhear that Wethered had the will in his pocket, have him killed by some accomplice, and meanwhile, insert a forged will beneath the pillow of his dead father, for the undertaker to find the next day.",Testimonial clue,Fabricated,Testimonial evidence,Yes,No,Yes,4,Yes,https://drive.google.com/open?id=1-nXW7ikqUSxtoU7zhYGQojG9eb7RYlj6,Qrime → same qrime,"""Very,"" he repeated with biting sarcasm, whilst nervously his bony fingers played with the inevitable bit of string."
2021-06-15T13:07:32Z,SO,AMB,OMIC02,The Robbery in Phillimore Terrace,"In a rich neighborhood, there is a double robbery – Mr. Knopf and Mr. Shipman’s diamonds are stolen on the same night. Is it the work of the suspicious tramp? What’s with Robertson’s (Mr. Knopf’s servant) cold?",BO,NA,Standard,Bill Owen,Male,Independent amateur,NA,NA,NA,NA,Polly Burton,Female,Independent amateur,NA,NA,NA,NA,1,0,,,,2,0,0,0,No,Acts together with one or more equal partners,Unclear/not specified,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Before the investigation,"Theft, Fraud, Forgery, Breaking and entering",Greed,NA,Yes,No,No,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",Mr. Knopf and Roberston are not seen together,Physical clue,Robertson picking stones from the ground and 'happening' to find the stolen diamonds,Testimonial clue,The tramp seen lurking at the crime scene,Physical clue,"Planted, Fabricated","Testimonial evidence, Physical evidence",Yes,Yes,Yes,3,No,https://drive.google.com/open?id=1fCOLlcmcLempZxmFcNIpjsfbdnNwDjnd,Qrime → same qrime,"""Now, follow my reasoning, point by point,"" he added eagerly."
2021-06-15T13:24:16Z,SO,AMB,OMIC03,The York Mystery,"After a very important race at York, a man is dead - stabbed in the back! Lord Arthur Skelmerton accuses George Higgins, while Higgins claims he was only trying to help the victim, well-known bookmaker, Charles Lavender. But is George Higgins truly the murderer?",BO,NA,Standard,Bill Owen,Male,Independent amateur,NA,NA,NA,NA,Polly Burton,Female,Independent amateur,NA,NA,NA,NA,2,0,,,,1,1,0,0,No,Acts alone,The detective(s) themselves,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Before the investigation,"Murder, Blackmail, Assault, Forgery",Love,Knife/sword,Yes,No,Yes,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",Stabbed in a back unbefitting of Englishmen,Physical clue,Meeting between Lord Arthur and bookie Lavender,Testimonial clue,Lavender's blackmailing of Lord Arthur,Testimonial clue,Fabricated,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,No,https://drive.google.com/open?id=1iEBTT6g6L3emTKjrBMoUVHrY8tgcfRde,Qrime → same qrime,"""You don't see that there is one point clear which to me was the key of the whole thing?"
2021-06-15T13:38:34Z,SO,AMB,OMIC04,The Mysterious Death on the Underground Railway,"A woman is found dead in the underground railway. Is it suicide or the work of Mr. Errington, a hobbyist toxicologist? And why would the widower lie?",BO,NA,Standard,Bill Owen,Male,Independent amateur,NA,NA,NA,NA,Polly Burton,Female,Independent amateur,NA,NA,NA,NA,0,1,,,,1,0,0,0,No,Acts alone,The detective(s) themselves,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Before the investigation,Murder,"Greed, Jealousy",Poison,Yes,No,Yes,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable)","""Au revoir, don’t be late tonight"" – the parting words by a man in tweed",Testimonial clue,"Prussic acid in victim's body (injected, not ingested)",Testimonial clue,Mr. Errington is a known hobbyist toxicologist,Testimonial clue,Fabricated,"Testimonial evidence, Physical evidence",Yes,Yes,Yes,3,No,https://drive.google.com/open?id=1iMrKzl6QOx5UCRwCPrN5jaX7YFVWR91q,Qrime → same qrime,"But they won't find them, because there are none."
2021-06-18T10:45:49Z,AMB,JM,LMSY07,A Christmas Tragedy,"Invited to celebrate Christmas at Major Ceely‘s house, Miss Molly has to investigate when her host is violently murdered on Christmas day. The main suspect appears to be a young man, Mr. Smethick, who was said to be engaged to the Major’s daughter.",BO,NA,Standard,Molly Roberston-Kirk,Female,Member of the police,NA,NA,NA,NA,Mary Granard,Female,Independent amateur,NA,NA,NA,NA,1,0,,,,0,1,0,0,No,Acts mostly alone with some assistance,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Before the investigation,Murder,Revenge,Knife/sword,Yes,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable)","Haggett holding the knife out to his wife, saying he can’t do it, she should do it.",Testimonial clue,Annie's behaviour at the police station,Physical clue,The presence of the ring near the crime scene,Physical clue,Fabricated,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,Yes,https://drive.google.com/open?id=1YOM40RZtGhGOOStY9viqsOBrBflTFbM6,Qrime → same qrime,"If you think over the interview between my dear lady and the Haggetts on that memorable morning, you will realise how admirably Lady Molly had led up to the weird finish."
2021-06-18T11:00:32Z,AMB,JM,LMSY08,The Bag Of Sand,"Miss Violet is caught dining with Mr. Athol by her disapproving aunt, resulting in a frightful row! The next morning, Mrs. Dunstan (the aunt) is found dead. The main suspect - the charwoman seen fleeing the scene - has disappeared. Lady Molly sends Mary undercover to do some digging.",BO,NA,Standard,Molly Robertson-Kirk,Female,Member of the police,NA,NA,NA,NA,Mary Granard,Female,Independent amateur,NA,NA,NA,NA,0,1,,,,1,1,0,0,No,Acts together with one or more equal partners,The police,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Before the investigation,"Murder, Theft, Fraud",Greed,Poison,Yes,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Red herring (usable → legible)",Lady Molly finds the clothes of the charwoman in the cellar,Physical clue,Mrs.Dunstan had a long conversation with Mr.Athol,Testimonial clue,The charwoman was seen upstairs carrying a bag of sand,Physical clue,Fabricated,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,Yes,https://drive.google.com/open?id=1gYxC_VTY-uz1qrcuJ3D7HSuiv6KpYI7S,Qrime → same qrime,"Miss Cruikshank the while was on her hands and knees scrubbing the floor. At sight of me she jumped up, and with obvious confusion muttered something about “hating to be idle,” etc."
2021-06-18T11:11:20Z,AMB,JM,LMSY09,The Man In The Inverness Cape,"Mr. Leonard Marvell disappears without a trace after dining with Miss Lulu Fay, taking with him the lady’s diamonds. Lady Molly goes undercover to befriend his maid, in the hopes of finding the missing man.",BO,NA,Standard,Molly Robertson-Kirk,Female,Member of the police,NA,NA,NA,NA,Mary Granard,Female,Independent amateur,NA,NA,NA,NA,0,1,,,,1,1,0,0,No,Acts together with one or more equal partners,The detective(s) themselves,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,"Before the investigation, During the investigation","Suspected murder, Theft, Fraud",Greed,NA,Yes,No,No,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",The fact that the three people are never seen at he same place at the same time,Testimonial clue,The contradictions regarding when the maid was seen entering the hotel,Testimonial clue,NA,NA,Fabricated,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,No,https://drive.google.com/open?id=18AIqbZwxs5eN0PhpQZkjuQAx7MN0k4ln,Qrime → different qrime,But my dear lady had been cleverer.
