Describe the main red herring (if present),How satisfying is this story as a piece of detective fiction?,Plot Summary (25-50 words),Assistant #1 Role,Of what type is the essential clue (if present)?,Story Code,Presence of planted or fabricated evidence,When do(es) the crime(s)/mystery being investigated occur?,In what order are the investigation and reveal portions provided?,"More Than Two Assistants? (If yes, enter total number)","What is the ""reveal border"" sentence?",Are one or more culprits introduced into the story only during the reveal?,Of what type is the main red herring (if present)?,Name of Detective #2,Types of evidence made available in the story,"More Than Two Detectives? (If yes, enter total number)",Detective #1 Role,Of what type is the most salient clue (if clues are present)?,Would you recommend this story to a friend?,Annotator #1 Code,Number of culprits of gender Unknown,Types of crimes or quasi-crimes present in story,Does the story provide sufficient clues in sufficient detail to allow an alert reader to correctly guess the solution before the reveal?,Annotator #2 Code,Did either annotator personally correctly guess the solution to the crime before the reveal?,Name of Assistant #1,Assistant #2 Role,Number of culprits of gender Non-binary,Types of clues,Number of culprits of gender Female,Name of Assistant #2,Author Code,Story Name,Detective #2 Gender,What is the essential clue in the story (if present)?,Number of culprits of gender Male,The main culprit,Number of victims of gender Female,Detective #1 Gender,"Does the detective pointedly and independently decide NOT to alert the authorities to the facts of the crime, despite the fact that an actionable crime has been committed?",Do you receive a satisfying narrative of account of the crime(s) in all their relevant details and a summary of the process by which the crime(s) are solved?,Is the crime solved?,Who initiates the detective's investigation?,What is the role of the police force in solving the crime?,Second author code (if applicable),Means (murder only),What is the most salient clue in the story (if clues are present)?,Does the story provide sufficient clues in sufficient detail to allow an alert reader to definitively solve the crime before the reveal?,Crime trajectory,Assistant #2 Gender,Motives,Detective #2 Role,Number of victims of gender Male,Assistant #1 Gender,The story's main action focuses on a,Name of Detective #1,Date of First Publication (YYYY-MM-DD),Format of First Publication (Journal or Book),Name of Journal or Title of Book,Surname(s),Given Name(s),Sex,publication_year,crime_trajectory
NA,1,"A man is found strangled to death unexpectedly, but who killed him, and why would they kill such a man?",Independent amateur,Testimonial clue,OMIC10,NA,Before the investigation,Standard,NA,"""You do not see how that murder was committed?"" he asked with a grin.",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Testimonial clue,No,CC,0,Murder,No,SK,No,Polly Burton,NA,0,"Usable in real time (usable → usable), Ex post -- new clue (not mentioned → usable)",0,NA,BO,The Regent's Park Murder,NA,The debt owed to the victim,2,Acts together with one or more equal partners,0,Male,Yes,No,Yes,Unclear/not specified,Police are present and contribute significantly to solving the crime,NA,Asphyxiation,Information disclosed regarding John Ashley,No,Qrime → same qrime,NA,Greed,NA,1,Female,Crime,Bill Owens,1908-10-20 00:00:00+00:00,Book,The Old Man in the Corner,Orczy,Emma,F,1908,Qrime_to_same_qrime
The young clerk goes missing after the transaction,4,"A reputed jewellery firm sends a clerk on a visit to Prince Seimonicz’s hotel, upon his request, to display some exceedingly valuable wares. But foreigners who claim to be aristocrats are often suspicious in England, where many a con man disguises himself thus. But the clerk returns without the wares, and goes missing from his rooms. Is the culprit obvious? Or could it be that appearances are misleading?",NA,Testimonial clue,OMIC05,NA,Before the investigation,Standard,NA,"Who do I think knew at that moment that young Schwarz had money in his possession?"" he said excitedly, wriggling in his chair like a Jack-in-the-box.",No,Physical clue,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Testimonial clue,Yes,MS,0,"Theft, Fraud",No,JM,No,NA,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable)",0,NA,BO,The Liverpool Mystery,NA,Living above his means,1,Acts alone,0,Male,No,Yes,Yes,The detective(s) themselves,Police are present and actively interfere with or hinder the solution of the crime,NA,NA,the fake policeman appears immediately after the deal has been made,No,Qrime → same qrime,NA,Greed,NA,2,NA,Crime,Bill Owen,1908-10-20 00:00:00+00:00,Book,The Old Man in the Corner,Orczy,Emma,F,1908,Qrime_to_same_qrime
Suggestion that motive of murder was the theft of the diamonds,5,"A wedding is to be celebrated, and the future wife has been promised beautiful diamonds by the godmother of the bridesmaid. A week before the wedding, the wealthy woman is found dead: she has been robed and murdered, and the bride is immediately accused.",NA,Testimonial clue,OMIC06,NA,Before the investigation,Standard,NA,"""Then who, in your opinion,"" he asked sarcastically, and cocking his funny birdlike head on one side, ""tried to sell diamond earrings to Mr. Campbell, the jeweller?""",No,Testimonial clue,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Testimonial clue,Yes,MS,0,"Murder, Theft",No,JM,No,NA,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable)",1,NA,BO,The Edinburgh Mystery,NA,Lady Donald's sentence,1,Acts alone,1,Male,No,Yes,Yes,The detective(s) themselves,Police are present and actively interfere with or hinder the solution of the crime,NA,Asphyxiation,David was the last person who saw his aunt alive + Edith was in the train at 9:10PM,No,Qrime → same qrime,NA,"Greed, Love",NA,0,NA,Crime,Bill Owen,1908-10-20 00:00:00+00:00,Book,The Old Man in the Corner,Orczy,Emma,F,1908,Qrime_to_same_qrime
NA,2,"One evening, Brett’s reading is interrupted by the shattering of a windowpane. The cause is a thrown rock wrapped with a discordant piece of music entitled “Flitterbat Lancers.” The music may be the key to a fortune.",Independent amateur,Physical clue,AMH04,NA,"Before the investigation, During the investigation",Standard,NA,"""You read it? Whew! And what does it say? How did you do it?"" Hoker turned the paper over eagerly in his hands as he spoke.",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent professional (solo),Physical clue,No,WW,0,"Theft, Fraud, Kidnapping, Mischief",No,MAL,No,Brett,NA,0,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",0,NA,AM,"The Case of the ""Flitterbat Lancers""",NA,The decryption of the sheet music of “Flitterbat Lancers”.,5,Acts together with one or more equal partners,0,Male,No,Yes,Yes,The assistant(s),"Police are present but with no role, or only a minor role, in helping solve the crime",NA,NA,"The silence of the man being abducted, indicating that he doesn’t want external assistance.",No,Qrime → different qrime,NA,Greed,NA,3,Male,Crime,Martin Hewitt,1896-04-01 00:00:00+00:00,Journal,The Windsor Magazine,Morrison,Arthur,M,1896,Qrime_to_different_qrime
NA,3,"When an unpopular sea captain once accused of sinking his own ship is found with his throat slit, a young Martin Hewitt investigates the captain's fellow lodgers with a police inspector doubtful of his skills.",NA,Physical clue,AMH03,Planted,Before the investigation,Standard,NA,Very well. I think it will make the thing plainer if I summarise separately all my conclusions from the evidence as a whole from the beginning.,Yes,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent professional (solo),Physical clue,Yes,WW,0,"Murder, Theft, Fraud",No,MAL,No,NA,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",0,NA,AM,The Case of the Dead Skipper,NA,The burnt cheque and the identifying information on it which leads to the culprit.,2,Acts alone,0,Male,No,Yes,Yes,The detective(s) themselves,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,Knife/sword,"The captain’s valuables, found abandoned in a ditch, pointing away from robbery.",No,Qrime → same qrime,NA,Greed,NA,1,NA,Crime,Martin Hewitt,1896-05-01 00:00:00+00:00,Journal,The Windsor Magazine,Morrison,Arthur,M,1896,Qrime_to_same_qrime
NA,5,"A client approaches Martin Hewitt with suspicions of murder when a young man on a rural holiday with his friend is reported dead of smallpox. After all, bullet holes aren't symptomatic of smallpox, are they?",NA,Physical clue,AMH05,Fabricated,Before the investigation,Standard,NA,"""Mr. Bowyer,"" he said, ""we have done Mr. Stanley Main a sad injustice.",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent professional (solo),Testimonial clue,Yes,WW,0,"Suspected murder, Fraud",Yes,MAL,Yes,NA,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable)",0,NA,AM,The Case of the Late Mr. Rewse,NA,"The clock hidden in the cottage, broken by the bullet, is stopped at around one, which is before the main suspect returned to the cabin.",1,Acts alone,0,Male,No,Yes,Yes,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,Firearm,"Mr. Rewse’s emotional difficulties at the time, specifically the death of the woman he was courting.",No,Qrime → different qrime,NA,"Greed, Love",NA,0,NA,Quasi-crime,Martin Hewitt,1896-02-01 00:00:00+00:00,Journal,The Windsor Magazine,Morrison,Arthur,M,1896,Qrime_to_different_qrime
The 'sacred' snuff box,3,Mrs. Mallett is an eccentric who bothers Martin Hewitt. She is in possession of a sacred snuff box which is a relic of some cult(?). Then she disappears! Is it the work of the cult?,NA,Physical clue,AMH06,NA,"Before the investigation, During the investigation, After the investigation",Standard,NA,"""I think we are at the bottom of all this mystery now,"" Hewitt answered quietly.",No,Testimonial clue,NA,"Testimonial evidence, Physical evidence",NA,Independent professional (solo),Testimonial clue,Yes,SO,3,"Suspected murder, Theft, Assault, Kidnapping, Breaking and entering",Yes,AMB,Yes,NA,NA,0,"Illegible and never usable (illegible → never usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable)",1,NA,AM,The Case of the Ward Lane Tabernacle,NA,Break-in during Mrs. Mallett's kidnapping,1,Acts on behalf of a crime syndicate,1,Male,Yes,Yes,Yes,A private client,Police are not present,NA,NA,Reuben Penner's repeated interactions with Mrs. Mallett',No,Qrime → different qrime,NA,Ideology,NA,1,NA,Crime,Martin Hewitt,1896-06-01 00:00:00+00:00,Journal,The Windsor Magazine,Morrison,Arthur,M,1896,Qrime_to_different_qrime
NA,2,"Loveday Brooke goes undercover to find who murdered Old Sandy. The police suspect young Mr. Craven - son of the philology-obsessed master of Troyte Hill. But when Miss Craven goes on the run and the family dog turns up dead, it’s up to Loveday to piece it all together.",NA,Testimonial clue,ELB02,NA,"Before the investigation, During the investigation",Standard,NA,"The ink had not dried on the pen with which this report was written before a note, in Loveday's writing, was put into his hand.",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent professional (agency),Physical clue,Yes,SO,0,"Murder, Theft, Blackmail, Assault, Mischief",Yes,AMB,Yes,NA,NA,0,"Evoked, Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",0,NA,CKP,The Murder at Troyte's Hill,NA,Mr. Craven grieving Captain (the dog)'s death despite him only going missing,2,Acts alone,1,Female,No,Yes,Yes,The police,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,Blunt force trauma,Captain (the dog)'s corpse,Yes,Qrime → same qrime,NA,Crime-for-crime's-sake,NA,1,NA,Crime,Loveday Brooke,1905-03-07 00:00:00+00:00,Journal,The Ludgate Monthly,Pirkis,Catherine Louisa,F,1905,Qrime_to_same_qrime
NA,1,"(Racism; Orientalism) Orientalist sir Jocelyn Saul is the inheritor and curator of a golden chalice with a priceless gem embedded dating from the Crusades. His only companion is a 'Persian' named Ul-Jabal, who appears to be swapping the gems with a dud! Is Ul-Jabal a thief?",Independent amateur,Testimonial clue,PZ02,NA,Before the investigation,Standard,NA,"You perceive, I hope, the sinister meaning of all this?'",No,NA,NA,Testimonial evidence,NA,Independent amateur,Testimonial clue,No,SO,0,"Murder, Theft, Fraud, Forgery, Breaking and entering",Yes,AMB,No,_unnamed,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",0,NA,MPS,The Stone of the Edmundsbury Monks,NA,The stone's unique ability to change colour,1,Acts on behalf of a crime syndicate,0,Male,No,Yes,Yes,Unclear/not specified,Police are not present,NA,Poison,Ul-Jabal's repeated return to the gem chamber,No,Qrime → same qrime,NA,Ideology,NA,2,Unknown,Crime,Zaleski,1905-03-09 00:00:00+00:00,Book,Prince Zaleski,Shiell,Matthew Phipps,M,1905,Qrime_to_same_qrime
NA,2,"A dead Earl, severed fingers, stolen jewels, and a floating ball of white. When Lord Pharanx is found murdered three months after his son Randolph returned from India, is the culprit a mere robber, or something more sinister?",Independent amateur,Testimonial clue,PZ01,"Planted, Fabricated",Before the investigation,Standard,NA,"""And now, Shiel, let us sit together and confer on this matter.""",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Physical clue,No,WW,0,"Suspected murder, Theft, Fraud, Assault",No,MAL,No,Matthew Shiel,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",1,NA,MPS,The Race of Orven,NA,"The history of Lord Pharanx’s family line, with the early deaths of the patriarchs.",2,Acts together with one or more equal partners,1,Male,No,Yes,Yes,The assistant(s),Police are not present,NA,Firearm,"The note that Pharanx sends to his son: ""Return. The beginning of the end is come.""",No,Qrime → different qrime,NA,"Greed, Pride",NA,0,Male,Crime,Zaleski,1905-03-09 00:00:00+00:00,Book,Prince Zaleski,Shiell,Matthew Phipps,M,1905,Qrime_to_different_qrime
NA,4,"The unrecognizable corpse of William Kershaw, a man in dire financial straits, is found—after his presumed meeting with a millionaire whom he had attempted to blackmail. To the shock of the police, however, William Kershaw is spotted at a hotel days after he supposedly died.",Independent amateur,Physical clue,OMIC01,"Planted, Fabricated",Before the investigation,Standard,NA,"""I will take you, if you like, point by point along the line of reasoning which I followed myself, and which will inevitably lead you, as it led me, to the only possible solution of the mystery.",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Physical clue,Yes,WW,0,"Murder, Theft, Fraud, Blackmail",Yes,MAL,No,Polly Burton,NA,0,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- newly usable clue (illegible → usable)",0,NA,BO,The Fenchurch Street Mystery,NA,The handwriting of Francis Smethurst in court not matching the handwriting in the letters.,1,Acts alone,0,Male,Yes,No,Yes,The detective(s) themselves,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,Unknown,"The strange appearance in court of the millionaire Francis Smethurst—hair, beard, eyebrows shaved.",No,Qrime → different qrime,NA,Greed,NA,1,Female,Crime,Bill Owen,1908-10-20 00:00:00+00:00,Book,The Old Man in the Corner,Orczy,Emma,F,1908,Qrime_to_different_qrime
NA,4,"When £30,000 of Lady Cathrow’s jewelry is stolen from her safe and a clergyman's black bag is left on a maid’s doorstep with a mysterious, confessional note, Loveday Brooke investigates the estate from the inside suspecting a link between two seemingly different events.",NA,Physical clue,ELB01,"Planted, Fabricated",Before the investigation,Standard,NA,"""Will you be good enough to tell Mr. Emmett in there,"" said Mr. Dyer, addressing the man, ""that a gentleman outside wishes to speak with him.""",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent professional (agency),Testimonial clue,Yes,WW,0,"Theft, Mischief",No,MAL,No,NA,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",0,NA,CKP,The Black Bag Left on a Door-Step,NA,"The writing on the safe, which matches The Reciter’s Treasury.",3,Acts together with one or more equal partners,1,Female,No,Yes,Yes,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,NA,Emmett Jones’ proficiency as a performer/reciter.,No,Qrime → same qrime,NA,Greed,NA,0,NA,Crime,Loveday Brooke,1905-03-07 00:00:00+00:00,Journal,The Ludgate Monthly,Pirkis,Catherine Louisa,F,1905,Qrime_to_same_qrime
NA,3,"The bank manager discovers a robbery, and suffers a nervous shock. The doctor forbids the police from questioning him in this precarious health. But the testimonies of the night watchman, and the bank manager’s wife turn out to be contradictory…",NA,Testimonial clue,OMIC07,NA,Before the investigation,Standard,NA,"""You are altogether on the wrong track,"" sounded a sharp voice in direct answer to Polly's thoughts—""altogether wrong.”",No,NA,NA,Testimonial evidence,NA,Independent amateur,Testimonial clue,No,JM,0,Theft,No,MS,No,NA,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",1,NA,BO,The Theft at the English Provident Bank,NA,"Why, Lewis, I thought you had gone to your club ages ago. What in the world are you doing here in the dark?",1,Acts alone,0,Male,No,Yes,Yes,The detective(s) themselves,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,NA,The lock of the safe was opened by its own key,No,Qrime → same qrime,NA,Greed,NA,1,NA,Crime,Bill Owen,1908-10-20 00:00:00+00:00,Book,The Old Man in the Corner,Orczy,Emma,F,1908,Qrime_to_same_qrime
"Percival was with his father during the argument, and is known to have been in the house throughout, which would’ve made it possible for him to overhear that Wethered had the will in his pocket, have him killed by some accomplice, and meanwhile, insert a forged will beneath the pillow of his dead father, for the undertaker to find the next day.",4,"A wealthy man, father of two sons, dies, and his lawyer is found murdered 
soon after. The will left by the old man appears to disinherit the son he 
loved the most, leaving everything to the gambling. Has the will been 
forged?",NA,Testimonial clue,OMIC08,Fabricated,Before the investigation,Standard,NA,"""Very,"" he repeated with biting sarcasm, whilst nervously his bony fingers played with the inevitable bit of string.",No,Testimonial clue,NA,Testimonial evidence,NA,Independent amateur,Testimonial clue,Yes,JM,0,"Murder, Theft, Forgery",Yes,MS,Yes,NA,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable)",0,NA,BO,The Dublin Mystery,NA,Clumsy forgery,1,Acts alone,0,Male,No,Yes,Yes,The detective(s) themselves,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,Blunt force trauma,"Father dies of despair, after quarrel.",No,Qrime → same qrime,NA,Greed,NA,3,NA,Crime,Bill Owen,1908-10-20 00:00:00+00:00,Book,The Old Man in the Corner,Orczy,Emma,F,1908,Qrime_to_same_qrime
The tramp seen lurking at the crime scene,3,"In a rich neighborhood, there is a double robbery – Mr. Knopf and Mr. Shipman’s diamonds are stolen on the same night. Is it the work of the suspicious tramp? What’s with Robertson’s (Mr. Knopf’s servant) cold?",Independent amateur,Physical clue,OMIC02,"Planted, Fabricated",Before the investigation,Standard,NA,"""Now, follow my reasoning, point by point,"" he added eagerly.",No,Physical clue,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Testimonial clue,No,SO,0,"Theft, Fraud, Forgery, Breaking and entering",Yes,AMB,No,Polly Burton,NA,0,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",0,NA,BO,The Robbery in Phillimore Terrace,NA,Mr. Knopf and Roberston are not seen together,2,Acts together with one or more equal partners,0,Male,Yes,Yes,Yes,Unclear/not specified,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,NA,Robertson picking stones from the ground and 'happening' to find the stolen diamonds,No,Qrime → same qrime,NA,Greed,NA,1,Female,Crime,Bill Owen,1908-10-20 00:00:00+00:00,Book,The Old Man in the Corner,Orczy,Emma,F,1908,Qrime_to_same_qrime
Lavender's blackmailing of Lord Arthur,3,"After a very important race at York, a man is dead - stabbed in the back! Lord Arthur Skelmerton accuses George Higgins, while Higgins claims he was only trying to help the victim, well-known bookmaker, Charles Lavender. But is George Higgins truly the murderer?",Independent amateur,Physical clue,OMIC03,Fabricated,Before the investigation,Standard,NA,"""You don't see that there is one point clear which to me was the key of the whole thing?",No,Testimonial clue,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Testimonial clue,No,SO,0,"Murder, Blackmail, Assault, Forgery",Yes,AMB,Yes,Polly Burton,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",1,NA,BO,The York Mystery,NA,Stabbed in a back unbefitting of Englishmen,1,Acts alone,0,Male,No,Yes,Yes,The detective(s) themselves,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,Knife/sword,Meeting between Lord Arthur and bookie Lavender,No,Qrime → same qrime,NA,Love,NA,2,Female,Crime,Bill Owen,1908-10-20 00:00:00+00:00,Book,The Old Man in the Corner,Orczy,Emma,F,1908,Qrime_to_same_qrime
Mr. Errington is a known hobbyist toxicologist,3,"A woman is found dead in the underground railway. Is it suicide or the work of Mr. Errington, a hobbyist toxicologist? And why would the widower lie?",Independent amateur,Testimonial clue,OMIC04,Fabricated,Before the investigation,Standard,NA,"But they won't find them, because there are none.",No,Testimonial clue,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Testimonial clue,No,SO,0,Murder,Yes,AMB,Yes,Polly Burton,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable)",0,NA,BO,The Mysterious Death on the Underground Railway,NA,"""Au revoir, don’t be late tonight"" – the parting words by a man in tweed",1,Acts alone,1,Male,Yes,Yes,Yes,The detective(s) themselves,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,Poison,"Prussic acid in victim's body (injected, not ingested)",No,Qrime → same qrime,NA,"Greed, Jealousy",NA,0,Female,Crime,Bill Owen,1908-10-20 00:00:00+00:00,Book,The Old Man in the Corner,Orczy,Emma,F,1908,Qrime_to_same_qrime
The presence of the ring near the crime scene,3,"Invited to celebrate Christmas at Major Ceely‘s house, Miss Molly has to investigate when her host is violently murdered on Christmas day. The main suspect appears to be a young man, Mr. Smethick, who was said to be engaged to the Major’s daughter.",Independent amateur,Testimonial clue,LMSY07,Fabricated,Before the investigation,Standard,NA,"If you think over the interview between my dear lady and the Haggetts on that memorable morning, you will realise how admirably Lady Molly had led up to the weird finish.",No,Physical clue,NA,"Testimonial evidence, Physical evidence",NA,Member of the police,Physical clue,Yes,AMB,0,Murder,Yes,JM,No,Mary Granard,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable)",1,NA,BO,A Christmas Tragedy,NA,"Haggett holding the knife out to his wife, saying he can’t do it, she should do it.",0,Acts mostly alone with some assistance,0,Female,No,Yes,Yes,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,Knife/sword,Annie's behaviour at the police station,No,Qrime → same qrime,NA,Revenge,NA,1,Female,Crime,Molly Roberston-Kirk,1905-03-24 00:00:00+00:00,Book,Lady Molly of Scotland Yard,Orczy,Emma,F,1905,Qrime_to_same_qrime
The charwoman was seen upstairs carrying a bag of sand,3,"Miss Violet is caught dining with Mr. Athol by her disapproving aunt, resulting in a frightful row! The next morning, Mrs. Dunstan (the aunt) is found dead. The main suspect - the charwoman seen fleeing the scene - has disappeared. Lady Molly sends Mary undercover to do some digging.",Independent amateur,Physical clue,LMSY08,Fabricated,Before the investigation,Standard,NA,"Miss Cruikshank the while was on her hands and knees scrubbing the floor. At sight of me she jumped up, and with obvious confusion muttered something about “hating to be idle,” etc.",No,Physical clue,NA,"Testimonial evidence, Physical evidence",NA,Member of the police,Testimonial clue,Yes,AMB,0,"Murder, Theft, Fraud",Yes,JM,No,Mary Granard,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Red herring (usable → legible)",1,NA,BO,The Bag Of Sand,NA,Lady Molly finds the clothes of the charwoman in the cellar,1,Acts together with one or more equal partners,1,Female,No,Yes,Yes,The police,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,Poison,Mrs.Dunstan had a long conversation with Mr.Athol,No,Qrime → same qrime,NA,Greed,NA,0,Female,Crime,Molly Robertson-Kirk,1905-03-24 00:00:00+00:00,Book,Lady Molly of Scotland Yard,Orczy,Emma,F,1905,Qrime_to_same_qrime
NA,3,"Mr. Leonard Marvell disappears without a trace after dining with Miss Lulu Fay, taking with him the lady’s diamonds. Lady Molly goes undercover to befriend his maid, in the hopes of finding the missing man.",Independent amateur,Testimonial clue,LMSY09,Fabricated,"Before the investigation, During the investigation",Standard,NA,But my dear lady had been cleverer.,No,NA,NA,"Testimonial evidence, Physical evidence",NA,Member of the police,Testimonial clue,No,AMB,0,"Suspected murder, Theft, Fraud",Yes,JM,No,Mary Granard,NA,0,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",1,NA,BO,The Man In The Inverness Cape,NA,The fact that the three people are never seen at he same place at the same time,1,Acts together with one or more equal partners,1,Female,No,Yes,Yes,The detective(s) themselves,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,NA,The contradictions regarding when the maid was seen entering the hotel,No,Qrime → different qrime,NA,Greed,NA,0,Female,Crime,Molly Robertson-Kirk,1905-03-24 00:00:00+00:00,Book,Lady Molly of Scotland Yard,Orczy,Emma,F,1905,Qrime_to_different_qrime
Mr. Lydgate's visits to Mary,2,"A partially decomposed body found in a bog is identified as Mary Nicholls, a woman known for her trysts with Mr. Lydgate, a London gentleman. Does the murder have anything to do with their child born out of wedlock? And where is Mary’s sister, Susan?",Independent professional (solo),Testimonial clue,LMSY01,NA,Before the investigation,Standard,NA,"“Mary, you are stupid,” was all the reply I got.",No,Testimonial clue,NA,"Testimonial evidence, Physical evidence",NA,Member of the police,Physical clue,No,SO,0,"Murder, Blackmail",No,MS,No,Mary Granard,NA,0,"Illegible and never usable (illegible → never usable), Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Red herring (usable → legible)",1,NA,BO,The Ninescore Mystery,NA,Mr. Ludgate's testimony (was away the entire time),1,Acts alone,1,Female,No,Yes,Yes,The detective(s) themselves,Police are present and contribute significantly to solving the crime,NA,Blunt force trauma,Susan's absence throughout the investigation,No,Qrime → same qrime,NA,"Greed, Revenge",NA,1,Female,Crime,Molly Robertson-Kirk,1905-03-24 00:00:00+00:00,Book,Lady Molly of Scotland Yard,Orczy,Emma,F,1905,Qrime_to_same_qrime
The son's resentment to the father for being cut out of the will,2,"Mr. Frewin is a rich art collector at the verge of death. At his death bed, his prized miniatures are stolen! Is it the work of his irreconcilable son Lionel, who was struck out of Mr. Frewin’s will?",Independent professional (solo),Testimonial clue,LMSY02,NA,Before the investigation,Standard,NA,"“Oh, yes, I do,” replied Lady Molly, still smiling.",No,Testimonial clue,NA,"Testimonial evidence, Physical evidence",NA,Member of the police,Testimonial clue,No,SO,0,"Theft, Fraud, Forgery",No,MS,No,Mary Granard,NA,0,"Illegible and never usable (illegible → never usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Red herring (usable → legible)",1,NA,BO,The Frewin Miniatures,NA,Art-training of Mrs. Frewin,0,Acts alone,0,Female,No,Yes,Yes,The police,Police are present and contribute significantly to solving the crime,NA,NA,Lionel's testimony that he was at Lady Steyne's house,No,Qrime → same qrime,NA,Love,NA,2,Female,Crime,Molly Robertson-Kirk,1905-03-24 00:00:00+00:00,Book,Lady Molly of Scotland Yard,Orczy,Emma,F,1905,Qrime_to_same_qrime
NA,2,"(Racism) A man is murdered in Sicily! And in his clutches, a cut of Irish tweed from his English overseer’s coat. Is this the work of the mob? Russian nihilists? In this cosmopolitan case, how will Lady Molly prove the Englishman’s innocence?",Independent professional (solo),NA,LMSY03,Planted,"Before the investigation, During the investigation",Other,NA,NA,No,NA,NA,"Testimonial evidence, Physical evidence",NA,Member of the police,NA,No,SO,0,"Murder, Theft, Assault",No,MS,No,Mary Granard,NA,0,NA,1,NA,BO,The Irish-Tweed Coat,NA,NA,2,Acts on behalf of a crime syndicate,1,Female,No,Yes,Yes,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,Knife/sword,NA,No,Qrime → same qrime,NA,Ideology,NA,2,Female,Crime,Molly Robertson-Kirk,1905-03-24 00:00:00+00:00,Book,Lady Molly of Scotland Yard,Orczy,Emma,F,1905,Qrime_to_same_qrime
